shapeid,x,y,Path
151,-0.85958302,5.210140228,34430
151,-0.85958302,5.209862232,34431
151,-0.859304011,5.209862232,34432
151,-0.859304011,5.209584236,34433
151,-0.859028995,5.209584236,34434
151,-0.859028995,5.208192825,34435
151,-0.863472998,5.208192825,34436
151,-0.863472998,5.207917213,34437
151,-0.865139008,5.207917213,34438
151,-0.865139008,5.208192825,34439
151,-0.865695,5.208192825,34440
151,-0.865695,5.207917213,34441
151,-0.872362018,5.207917213,34442
151,-0.872362018,5.207639217,34443
151,-0.874584019,5.207639217,34444
151,-0.874584019,5.207361221,34445
151,-0.876250029,5.207361221,34446
151,-0.876250029,5.207083225,34447
151,-0.881806016,5.207083225,34448
151,-0.881806016,5.206805229,34449
151,-0.88875097,5.206805229,34450
151,-0.88875097,5.206527233,34451
151,-0.89041698,5.206527233,34452
151,-0.89041698,5.206249237,34453
151,-0.892916977,5.206249237,34454
151,-0.892916977,5.205970764,34455
151,-0.895971,5.205970764,34456
151,-0.895971,5.205695152,34457
151,-0.897360981,5.205695152,34458
151,-0.897360981,5.205970764,34459
151,-0.899028003,5.205970764,34460
151,-0.899028003,5.205695152,34461
151,-0.900139987,5.205695152,34462
151,-0.900139987,5.205970764,34463
151,-0.904305995,5.205970764,34464
151,-0.904305995,5.205695152,34465
151,-0.906527996,5.205695152,34466
151,-0.906527996,5.205417156,34467
151,-0.90930599,5.205417156,34468
151,-0.90930599,5.20513916,34469
151,-0.910416007,5.20513916,34470
151,-0.910416007,5.205417156,34471
151,-0.91347301,5.205417156,34472
151,-0.927204657,5.235309654,34473
151,-0.937674285,5.25815248,34474
151,-0.944336776,5.284802443,34475
151,-0.954743028,5.306245804,34476
151,-0.950231016,5.310408115,34477
151,-0.907074988,5.353319168,34478
151,-0.900471985,5.360017776,34479
151,-0.898517013,5.362327099,34480
151,-0.896151006,5.365849972,34481
151,-0.893571019,5.371755123,34482
151,-0.889136016,5.379402161,34483
151,-0.886855006,5.385046959,34484
151,-0.882492006,5.392522812,34485
151,-0.880181015,5.398122787,34486
151,-0.877313972,5.403111935,34487
151,-0.876097023,5.405677795,34488
151,-0.875404,5.408602238,34489
151,-0.875222027,5.411646843,34490
151,-0.875465989,5.414693832,34491
151,-0.876209021,5.417623043,34492
151,-0.880145013,5.425292015,34493
151,-0.880958974,5.428247929,34494
151,-0.882331014,5.440811157,34495
151,-0.88311702,5.443765163,34496
151,-0.886985004,5.451440811,34497
151,-0.887766004,5.454394817,34498
151,-0.889056027,5.466975212,34499
151,-0.889827013,5.469946861,34500
151,-0.893776,5.477701187,34501
151,-0.894638002,5.480640888,34502
151,-0.896429002,5.490274906,34503
151,-0.897665024,5.493772984,34504
151,-0.899262011,5.497255802,34505
151,-0.903348982,5.50481081,34506
151,-0.884734988,5.508704185,34507
151,-0.88122499,5.509184837,34508
151,-0.873510003,5.50961113,34509
151,-0.846778354,5.509616358,34510
151,-0.843924816,5.509616916,34511
151,-0.838212815,5.48515306,34512
151,-0.830360594,5.47230397,34513
151,-0.823936049,5.466593264,34514
151,-0.819653019,5.464451749,34515
151,-0.813942313,5.453744174,34516
151,-0.808328931,5.446675471,34517
151,-0.794668679,5.429473672,34518
151,-0.786928747,5.417089781,34519
152,-1.801731944,6.032528877,34520
152,-1.811412367,6.018033352,34521
152,-1.819621507,6.010894969,34522
152,-1.832827516,6.001615071,34523
152,-1.84781812,5.990193658,34524
152,-1.860667209,5.977344569,34525
152,-1.872088622,5.970563105,34526
152,-1.887436146,5.962710883,34527
152,-1.897072963,5.958784773,34528
152,-1.909565133,5.954144824,34529
152,-1.914562001,5.949861794,34530
152,-1.924824953,5.948377132,34531
152,-1.927181959,5.95395422,34532
152,-1.928740978,5.956398964,34533
152,-1.936470032,5.965570927,34534
152,-1.938027978,5.968013763,34535
152,-1.940387011,5.973593235,34536
152,-1.944712996,5.981072903,34537
152,-1.947046995,5.986663818,34538
152,-1.94868803,5.989230156,34539
152,-1.952849984,5.994009972,34540
152,-1.969086051,6.010087013,34541
152,-1.97368598,6.014259815,34542
152,-1.976145029,6.016132832,34543
152,-1.978225946,6.017420769,34544
152,-1.982694983,6.019530773,34545
152,-2.004682064,6.027904987,34546
152,-2.030637026,6.040713787,34547
152,-2.032624006,6.041968822,34548
152,-2.034394979,6.043446064,34549
152,-2.035881042,6.045194149,34550
152,-2.037143946,6.04713583,34551
152,-2.039597988,6.05195713,34552
152,-2.044111013,6.059443951,34553
152,-2.046330929,6.065100193,34554
152,-2.050657034,6.072596073,34555
152,-2.052961111,6.078211784,34556
152,-2.054337025,6.080431938,34557
152,-2.057820082,6.084572792,34558
152,-2.061718941,6.088521004,34559
152,-2.066293955,6.09266901,34560
152,-2.06872797,6.094521999,34561
152,-2.072874069,6.096940041,34562
152,-2.077857971,6.099274158,34563
152,-2.085408926,6.103743076,34564
152,-2.091093063,6.105956078,34565
152,-2.098722935,6.110046864,34566
152,-2.101084948,6.11071682,34567
152,-2.108494043,6.111929893,34568
152,-2.110852957,6.112602234,34569
152,-2.11848402,6.116704941,34570
152,-2.124162912,6.118937969,34571
152,-2.131714106,6.123457909,34572
152,-2.138916016,6.126832962,34573
152,-2.145045042,6.13013792,34574
152,-2.1489079,6.131828785,34575
152,-2.151618004,6.133492947,34576
152,-2.153878927,6.135554791,34577
152,-2.160656929,6.143535137,34578
152,-2.164262056,6.173336983,34579
152,-2.164782047,6.19636488,34580
152,-2.164632082,6.202847004,34581
152,-2.164262056,6.205966949,34582
152,-2.163441896,6.208898067,34583
152,-2.162446022,6.210793972,34584
152,-2.161175966,6.212566853,34585
152,-2.157002926,6.216837883,34586
152,-2.152595043,6.219972134,34587
152,-2.145514011,6.22345686,34588
152,-2.137931108,6.227828026,34589
152,-2.132275105,6.23006916,34590
152,-2.124742031,6.234293938,34591
152,-2.119103909,6.236547947,34592
152,-2.111584902,6.240968227,34593
152,-2.106666088,6.243351936,34594
152,-2.102572918,6.245773792,34595
152,-2.094033003,6.252381802,34596
152,-2.091799021,6.253735065,34597
152,-2.086229086,6.25617218,34598
152,-2.084007025,6.257538795,34599
152,-2.08189702,6.259169102,34600
152,-2.077867031,6.262867928,34601
152,-2.067383051,6.274260998,34602
152,-2.053659916,6.288067818,34603
152,-2.030224085,6.287828922,34604
152,-2.023547888,6.28728199,34605
152,-2.020464897,6.28649807,34606
152,-2.009784937,6.280898094,34607
152,-2.005844116,6.278493881,34608
152,-2.004187107,6.277008057,34609
152,-2.002883911,6.275278091,34610
152,-2.001955986,6.273369789,34611
152,-2.001458883,6.271355152,34612
152,-2.001619101,6.268610954,34613
152,-2.002583027,6.26610899,34614
152,-2.005309105,6.261124134,34615
152,-2.007702112,6.255519867,34616
152,-2.011825085,6.24791193,34617
152,-2.012594938,6.244952202,34618
152,-2.013104916,6.238619804,34619
152,-2.013288021,6.222364903,34620
152,-2.013698101,6.219261169,34621
152,-2.014559984,6.216345787,34622
152,-2.015968084,6.213833809,34623
152,-2.023361921,6.204630852,34624
152,-2.024588108,6.202201843,34625
152,-2.025059938,6.199454784,34626
